,hhid,hhwgt,urban,inc_employ,inc_commerce,inc_subsist,inc_remit,inc_transfer,inc_gift,inc_rent,inc_total,food_cons,total_cons,poor_nat,poor_190,poor_320,poor_550,dep_water,dep_san,dep_ele,dep_enroll,dep_attain,hhsize,number_of_children,pcexp,pcinc,ispoor,hoh_mainactivity,hoh_education,hhinc_mainsource_all,hhinc_mainsource_wage_other,inc_nonwage,pcwgt,pov_line
10,00-16-88-31,95.73822021484375,1,28875.83203125,4454.53857421875,0.0,0.0,173.9791259765625,0.0,4210.7822265625,37715.12890625,5576.69482421875,13264.3681640625,0,0,0,0,0,0,0,0,0,3,1,4421.4560546875,12571.709635416666,0,Not working,At least some secondary completion,inc_employ,inc_employ,8839.299926757812,287.21466064453125,2179
11,00-17-89-39,114.56671142578125,0,0.0,7157.451171875,83.39401245117188,3848.954345703125,1226.8541259765625,1926.6102294921875,1686.493896484375,15929.7578125,2035.022216796875,5068.18896484375,0,0,0,1,0,0,0,0,0,3,1,1689.3963216145833,5309.919270833333,0,Self employment/subsistence,At least some secondary completion,inc_commerce,other,15929.757781982422,343.70013427734375,2179
12,00-18-77-10,188.6020050048828,1,0.0,8483.1162109375,0.0,0.0,1343.950927734375,1233.740966796875,2155.46142578125,13216.26953125,2138.2236328125,9330.16796875,0,0,0,1,0,0,0,0,0,5,4,1866.03359375,2643.25390625,0,Self employment/subsistence,At least some secondary completion,inc_commerce,other,13216.26953125,943.0100250244141,2179
13,00-19-25-84,55.72153091430664,0,15653.953125,0.0,296.9584655761719,0.0,0.0,0.0,1760.68994140625,17711.6015625,4182.68359375,8527.9814453125,0,0,0,0,0,1,0,0,0,2,0,4263.99072265625,8855.80078125,0,Wage employment,At least some secondary completion,inc_employ,inc_employ,2057.648406982422,111.44306182861328,2179
14,00-19-76-13,136.37152099609375,1,12060.505859375,0.0,82.26811218261719,0.0,0.0,143.9691925048828,2320.167236328125,14606.91015625,4385.50732421875,10382.41015625,0,0,0,0,0,0,0,0,0,4,1,2595.6025390625,3651.7275390625,0,Not working,Primary completion and below,inc_employ,inc_employ,2546.404541015625,545.486083984375,2179
15,00-20-26-45,19.13302993774414,1,0.0,0.0,0.0,2336.153076171875,1775.4761962890625,0.0,2558.00537109375,6669.634765625,2069.046630859375,6052.70654296875,0,0,0,0,0,0,0,0,1,1,0,6052.70654296875,6669.634765625,0,Not working,Primary completion and below,inc_rent,other,6669.6346435546875,19.13302993774414,2179
16,00-21-82-28,222.71295166015625,0,9335.0673828125,0.0,1070.027587890625,0.0,2047.8111572265625,0.0,562.92333984375,13015.830078125,4202.07177734375,7306.48291015625,1,0,1,1,0,0,0,0,0,7,4,1043.7832728794642,1859.404296875,1,Wage employment,At least some secondary completion,inc_employ,inc_employ,3680.7620849609375,1558.9906616210938,2179
17,00-25-62-70,129.03173828125,1,31374.625,0.0,79.59618377685547,0.0,158.42703247070312,258.6875915527344,4668.82470703125,36540.16015625,4035.12841796875,15244.396484375,0,0,0,0,0,0,0,0,0,4,2,3811.09912109375,9135.0400390625,0,Wage employment,Post-secondary/tertiary and above,inc_employ,inc_employ,5165.535514831543,516.126953125,2179
18,00-28-01-00,74.90291595458984,0,0.0,0.0,608.8087768554688,1915.831787109375,1043.06396484375,549.5882568359375,905.9888916015625,5023.28125,2228.4248046875,4016.313232421875,0,0,0,0,0,0,1,0,0,2,0,2008.1566162109375,2511.640625,0,Not working,Primary completion and below,inc_remit,other,5023.281677246094,149.8058319091797,2179
19,00-29-35-53,151.6704864501953,1,0.0,11267.322265625,0.0,0.0,168.52137756347656,0.0,2442.338623046875,13878.1826171875,2146.3271484375,9358.1201171875,0,0,0,0,0,0,0,0,0,4,2,2339.530029296875,3469.545654296875,0,Self employment/subsistence,At least some secondary completion,inc_commerce,other,13878.182266235352,606.6819458007812,2179
